custom/total_reward,custom/avg_speed,custom/mean_reward,custom/routes_completed,custom/total_distance,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
2.7657195486401545,17.351442464233184,0.027657195486401543,0.04938271604938271,23.856552893295884,,,,,,,,,,,,,
-3.1434172465646952,9.829709973801975,-0.06548785930343115,0.00821917808219178,6.38895150157623,,,,,,,,,,,,,
39.22424470305835,14.960272509959387,0.37004004436847504,0.054455445544554455,21.853422060143203,,,,,,,,,,,,,
26.708272519316665,16.74367520168349,0.24503002311299693,0.05543710021321962,25.08614513464272,,,,,,,,,,,,,
,,,,,78.46875,10.374871624999999,26,94,2511,0.04978706315159798,32,,,,,,
6.972352848365723,18.308259701967533,0.06516217615295068,0.04701627486437613,26.959007874014787,,,,,,,,,,,,,
11.150396806956419,17.586256605377535,0.10420931595286373,0.06403940886699508,25.909168456448242,,,,,,,,,,,,,
3.8295889359024304,11.414186776605604,0.06602739544659363,0.016129032258064516,9.013349166605622,,,,,,,,,,,,,
14.422733517265115,13.661999628253676,0.15343333529005443,0.024657534246575342,17.606155135203153,,,,,,,,,,,,,
,,,,,79.80555555555556,10.212926861111109,27,106,2873,0.04978706315159798,36,,,,,,
3.5271159135623655,10.894515467339062,0.052643521097945754,0.021551724137931036,9.981584772467613,,,,,,,,,,,,,
10.46490884301307,11.232025062548603,0.14739308229595874,0.02576112412177986,10.900478946343355,,,,,,,,,,,,,
9.358419544878476,13.064899760482453,0.11140975648664853,0.02177293934681182,15.068648770451546,,,,,,,,,,,,,
13.843993458737245,13.292206772964427,0.1949858233624964,0.020766773162939296,13.05809490737738,,,,,,,,,,,,,
,,,,,79.05,10.103855124999999,27,116,3162,0.04978706315159798,40,,,,,,
-0.035194758866600395,11.924732387230168,-0.00048881609536945,0.021778584392014518,11.740249156020582,,,,,,,,,,,,,
34.76428717539549,20.18602563693699,0.25010278543449993,0.0609375,38.72445077262819,,,,,,,,,,,,,
16.080356670932847,15.052365711733163,0.1767072161640972,0.03518518518518519,18.82976972614415,,,,,,,,,,,,,
4.016213453799601,10.116373040428606,0.06085171899696365,0.02088167053364269,9.111149238888174,,,,,,,,,,,,,
,,,,,80.13636363636364,10.41532425,26,130,3526,0.04978706315159798,44,,,,,,
7.113575224161771,12.64858524136655,0.09484766965549028,0.030660377358490566,13.063380226260051,,,,,,,,,,,,,
26.484535087449757,14.402529109838568,0.2878753813853234,0.04157043879907621,18.215593970380723,,,,,,,,,,,,,
17.31758338421278,12.429478638339258,0.23090111178950376,0.03225806451612903,12.905315512791276,,,,,,,,,,,,,
-3.089199911718688,9.64587516873233,-0.061783998234373756,0.014388489208633094,6.537538616743404,,,,,,,,,,,,,
,,,,,79.45833333333333,10.529065833333334,26,142,3814,0.04978706315159798,48,,,,,,
15.945259870465968,11.256474007175774,0.22458112493614038,0.026004728132387706,10.980312735540792,,,,,,,,,,,,,
3.7278688077319124,11.411538794787132,0.0465983600966489,0.027777777777777776,12.50970077328384,,,,,,,,,,,,,
0.10808187790744306,13.477967786693572,0.0013180716817980862,0.03260869565217391,15.266066274547484,,,,,,,,,,,,,
-2.533422595339103,9.238892582379554,-0.04967495284978634,0.009433962264150943,6.369732825551182,,,,,,,,,,,,,
,,,,,78.73076923076923,10.037256730769231,26,154,4094,0.04978706315159798,52,,,,,,
38.812730351517835,15.561060483101848,0.36615783350488523,0.04204753199268738,22.746180553920567,,,,,,,,,,,,,
36.151532015219615,16.979928714747146,0.3012627667934968,0.05894736842105263,28.099191521294415,,,,,,,,,,,,,
0.10527512513304238,10.72609627569613,0.001671033732270514,0.01775147928994083,9.219787735491991,,,,,,,,,,,,,
3.46285608543319,13.631517231916828,0.04497215695367779,0.024390243902439025,14.366304261609912,,,,,,,,,,,,,
,,,,,79.57142857142857,10.710073982142857,26,167,4456,0.04978706315159798,56,,,,,,
12.48052736488765,12.060686497328074,0.17578207556179787,0.02301255230125523,11.709737616591156,,,,,,,,,,,,,
12.62622155135271,12.500532868884719,0.17296193905962617,0.027522935779816515,12.492286948952824,,,,,,,,,,,,,
7.081335038752066,11.540628038712127,0.11421508127019461,0.02197802197802198,9.766839312389493,,,,,,,,,,,,,
18.567205486886337,12.605312271801589,0.23502791755552324,0.029914529914529916,13.758413004223257,,,,,,,,,,,,,
,,,,,78.95,10.83023065,26,177,4737,0.04978706315159798,60,,,,,,
16.047164220415024,12.148906276296994,0.21114689763703978,0.03,12.652627124800347,,,,,,,,,,,,,
16.489164673939364,15.317921244365042,0.1735701544625196,0.04640371229698376,19.976792328059673,,,,,,,,,,,,,
15.920825388749424,16.421263228430913,0.160816418068176,0.0410958904109589,22.339135451242328,,,,,,,,,,,,,
25.864680265398825,17.34967578892162,0.24172598378877405,0.040983606557377046,25.556430072989315,,,,,,,,,,,,,
,,,,,79.84375,11.303594921875,26,189,5110,0.04978706315159798,64,,,,,,
6.593914719971668,11.411426584528732,0.1046653130154233,0.02336448598130841,9.818693500943482,,,,,,,,,,,,,
25.902304509701004,17.877082656012387,0.17741304458699317,0.08530805687203792,36.05203598717344,,,,,,,,,,,,,
1.393988100308496,11.302121027155755,0.021121031822856,0.02262443438914027,10.179299998562783,,,,,,,,,,,,,
-2.2022845703578273,9.901651674754024,-0.03441069641184105,0.015625,8.648369662463665,,,,,,,,,,,,,
,,,,,80.07352941176471,11.094299970588235,26,202,5445,0.04978706315159798,68,,,,,,
5.901839698158167,11.264727411468733,0.06706636020634281,0.023140495867768594,13.581469798911712,,,,,,,,,,,,,
-1.0181801101649466,8.969247557613642,-0.020779185921733605,0.01728395061728395,6.004740726202726,,,,,,,,,,,,,
18.180686768562875,17.52228961590908,0.16089103335011393,0.04313099041533546,27.251524926628917,,,,,,,,,,,,,
5.97826927460634,12.104537355769912,0.08189409965214164,0.02181818181818182,12.110642950749025,,,,,,,,,,,,,
,,,,,80.05555555555556,10.871519694444446,26,214,5764,0.04978706315159798,72,,,,,,
20.367596812343493,11.472000019093322,0.2514518124980678,0.027253668763102725,12.832468680106103,,,,,,,,,,,,,
7.137533085219456,12.753115698888282,0.08811769241011674,0.030878859857482184,14.18156305490993,,,,,,,,,,,,,
24.68342178862671,15.417951128620405,0.2742602420958523,0.03518518518518519,19.058373916894197,,,,,,,,,,,,,
8.557138032240662,12.527867375105028,0.1277184780931442,0.018612521150592216,11.474565924145281,,,,,,,,,,,,,
,,,,,79.98684210526316,11.089335631578948,26,226,6079,0.04978706315159798,76,,,,,,
32.852081834465764,17.042564032315624,0.2959647012114033,0.06265060240963856,26.052646081370767,,,,,,,,,,,,,
18.422725888470254,15.381872857418951,0.19809382675774467,0.03316749585406302,19.687857295386493,,,,,,,,,,,,,
-5.702515278436756,6.905680483897086,-0.12133011230716503,0.006369426751592357,4.344604656100273,,,,,,,,,,,,,
10.360909353049411,12.650278460829803,0.1546404381052151,0.016541353383458645,11.586550150066614,,,,,,,,,,,,,
,,,,,79.9125,11.2252138875,26,238,6393,0.04978706315159798,80,,,,,,
11.801872267952994,14.306573778033323,0.14392527156040236,0.031189083820662766,16.100263577420264,,,,,,,,,,,,,
10.00569507399041,17.57986001354883,0.1000569507399041,0.035398230088495575,24.354317858815193,,,,,,,,,,,,,
3.374370867887288,13.052728343273316,0.04686626205399011,0.023722627737226276,12.853568607009947,,,,,,,,,,,,,
11.164432725711762,13.225892260118265,0.15293743459879128,0.029411764705882353,13.33247609809041,,,,,,,,,,,,,
,,,,,79.95238095238095,11.114974797619046,26,249,6716,0.04978706315159798,84,,,,,,
12.972282905814765,11.286301607832625,0.15629256513029838,0.03225806451612903,12.847049142234027,,,,,,,,,,,,,
-0.5589142451261733,9.497987345863438,-0.010162077184112241,0.014925373134328358,7.076780759962276,,,,,,,,,,,,,
35.79580036379543,19.890276910418507,0.2485819469708016,0.09375,39.514333115716,,,,,,,,,,,,,
0.9475496899830738,9.851785224025507,0.0150404712695726,0.01568627450980392,8.461902938863204,,,,,,,,,,,,,
,,,,,80.19318181818181,11.160329568181817,27,261,7057,0.04978706315159798,88,,,,,,
1.6865618444252384,12.463262835515843,0.02594710529884982,0.022132796780684104,11.071688937488943,,,,,,,,,,,,,
2.397406528908789,9.980668878671464,0.04794813057817578,0.0121765601217656,6.770513954281341,,,,,,,,,,,,,
-2.270013672208985,9.325209417121004,-0.046326809636918063,0.014527845036319613,6.187293673167005,,,,,,,,,,,,,
3.933549011222185,11.237130223629881,0.06344433889068041,0.015228426395939087,9.507814556360245,,,,,,,,,,,,,
,,,,,79.1195652173913,10.729901163043477,26,270,7279,0.04978706315159798,92,,,,,,
7.032122779037088,12.453306300975342,0.09904398280333927,0.01904761904761905,12.072055449709296,,,,,,,,,,,,,
-1.8279000731920458,10.94444822669805,-0.033850001355408256,0.019184652278177457,8.043740689754486,,,,,,,,,,,,,
15.152662626855385,18.069763829924312,0.14161366940986342,0.04355108877721943,26.61474671191536,,,,,,,,,,,,,
22.429322018307687,15.770409081729564,0.16991910619930065,0.06619385342789598,28.715635071042925,,,,,,,,,,,,,
,,,,,79.57291666666667,10.721161614583332,27,282,7639,0.04978706315159798,96,,,,,,
23.511314206831806,14.318035166027805,0.2197319084750636,0.052109181141439205,21.046267135068774,,,,,,,,,,,,,
27.467563639357195,16.69057867939802,0.2774501377712848,0.056790123456790124,22.824164766818285,,,,,,,,,,,,,
14.962284515600032,13.845407314691784,0.18471956192098804,0.0351288056206089,15.375152412801981,,,,,,,,,,,,,
5.838685093419581,18.32631660655994,0.04140911413772753,0.07568807339449542,35.65026104450226,,,,,,,,,,,,,
,,,,,80.63,11.00305763,26,299,8063,0.04978706315159798,100,,,,,,
-2.2142593976427234,8.528365146179063,-0.03752982029902921,0.012433392539964476,6.828996813157573,,,,,,,,,,,,,
1.027617373495291,11.432994634178884,0.016574473766053078,0.014265335235378032,9.68698008544743,,,,,,,,,,,,,
-2.169833857158534,8.395436958494447,-0.0361638976193089,0.011093502377179081,6.84739218294726,,,,,,,,,,,,,
-0.6579747327694285,10.395455943824057,-0.011749548799454081,0.014084507042253521,7.8987386943772435,,,,,,,,,,,,,
,,,,,78.93,10.243195589999997,26,309,8296,0.04978706315159798,104,,,,,,
14.135421947086982,13.117961046127586,0.20193459924409973,0.027972027972027972,12.585160199552774,,,,,,,,,,,,,
1.3054724253234156,9.76290995589311,0.02212665127666806,0.01904761904761905,7.841164030105574,,,,,,,,,,,,,
6.271445861950955,11.379340221593436,0.10281058790083533,0.016666666666666666,9.472540808375925,,,,,,,,,,,,,
17.130763747771464,14.741737383071944,0.203937663663946,0.04028436018957346,17.001937571913004,,,,,,,,,,,,,
,,,,,79.11,10.531463159999996,26,322,8566,0.04978706315159798,108,,,,,,
11.00318838519036,16.893148290066033,0.10188137393694777,0.047151277013752456,25.089089469984174,,,,,,,,,,,,,
15.976913255979493,14.228722509366168,0.15511566267941257,0.04477611940298507,20.151723382427008,,,,,,,,,,,,,
20.495081891656177,14.781598466258513,0.2180327860814487,0.04318181818181818,19.07930046878755,,,,,,,,,,,,,
3.7484880233954208,7.853268113463699,0.0734997651646161,0.010889292196007259,5.53450645878911,,,,,,,,,,,,,
,,,,,79.03,10.447842169999996,26,335,8918,0.04978706315159798,112,,,,,,
4.65015063768735,10.62965607482064,0.07381191488392619,0.025,9.14987909962656,,,,,,,,,,,,,
23.524165906511364,13.098685625881219,0.2556974555055583,0.025039123630672927,16.56179723329842,,,,,,,,,,,,,
10.790412052512348,15.807997897750962,0.09991122270844767,0.031029619181946404,23.49323117127642,,,,,,,,,,,,,
-1.3903138634822287,10.916520440565982,-0.024391471289161908,0.015444015444015444,8.486838365904987,,,,,,,,,,,,,
,,,,,79.83,10.78649258,26,346,9234,0.04978706315159798,116,,,,,,
15.611779168002528,14.964461085169301,0.16094617698971678,0.03389830508474576,20.106088807806373,,,,,,,,,,,,,
14.085676902657546,15.104915843946117,0.18780902536876729,0.024311183144246355,15.535880873911083,,,,,,,,,,,,,
3.105016111405922,11.390802947961834,0.04312522376952669,0.025540275049115914,11.23291443195194,,,,,,,,,,,,,
18.58062447598545,12.076997361046786,0.24448190099980854,0.025896414342629483,12.592579583404586,,,,,,,,,,,,,
,,,,,79.73,10.628765739999999,26,357,9550,0.04978706315159798,120,,,,,,
-3.8517238804590344,8.446169666172567,-0.08024424750956322,0.014492753623188406,5.4559498097223695,,,,,,,,,,,,,
11.357959233085982,18.13326893848376,0.1032541748462362,0.06318082788671024,27.491814609777066,,,,,,,,,,,,,
6.273385701039334,16.080628019720635,0.060906657291644024,0.03914590747330961,22.748918034136295,,,,,,,,,,,,,
22.96064227310103,18.203865892386744,0.20685263309100027,0.04900181488203267,27.81073128571734,,,,,,,,,,,,,
,,,,,81.19,11.00930035,26,371,9918,0.04978706315159798,124,,,,,,
-3.0920135111318228,8.159672721327627,-0.06721768502460485,0.011961722488038277,5.054951092402916,,,,,,,,,,,,,
6.609480265432367,11.14623362119922,0.10660452041019947,0.019189765458422176,9.41259382199496,,,,,,,,,,,,,
5.632739764583976,9.031807491144738,0.06786433451305995,0.019193857965451054,10.268565876409411,,,,,,,,-2.573661121798068,64,2.214167894795537,0.9973458033055067,8.521325380165681e-05,-0.008219107369086487
-6.22972559110622,1.8035697814256826,-0.04019177800713691,0.0072992700729927005,3.655525333248079,,,,,,,,-7.220971561968327,256,2.585692432243377,0.9807355497032404,8.494227995266271e-05,-0.06357404426671565
,,,,,81.08,10.428904819999998,26,385,10260,0.04981565847992897,128,,,,,,
-7.178349992706586,8.711625313301345,-0.24752931009333057,0.005272407732864675,3.27966495603323,,,,,,,,,,,,,
1.7364868949846244,17.48816296836403,0.029431981270925837,0.03111111111111111,14.055004073306918,,,,,,,,-8.418648764491081,320,2.455052343895659,0.9753381656482816,8.485205179834318e-05,-0.08214778429828584
0.8309180964494587,13.94606289437763,0.014083357566939977,0.020560747663551402,11.192715303972363,,,,,,,,-9.93270456790924,384,2.2664125422015786,0.9699557097628713,8.476187187502958e-05,-0.10323213879019022
-2.508515903351878,12.913906173211213,-0.04400905093599786,0.01717557251908397,9.952161249704659,,,,,,,,-10.969679534435272,448,2.5551775502972305,0.9645986976101995,8.46717401827219e-05,-0.11943151091691107
,,,,,79.49,9.702162,26,394,10460,0.04982304945588112,132,,,,,,
-6.751809699865071,0.7565379421892477,-0.03689513497194028,0.004484304932735426,1.8101280517876148,,,,,,,,-14.092032983899117,640,2.5703410087153316,0.948941171169281,8.440163449183434e-05,-0.17280078027397394
-6.209679275181724,8.774172336183957,-0.19405247734942888,0.004665629860031105,3.6844753096811473,,,,,,,,,,,,,
0.91770683355149,15.245208796011713,0.019950148555467173,0.019522776572668113,9.459494534879923,,,,,,,,-14.992680549621582,704,2.1576662780717015,0.9438943965360522,8.43116957235503e-05,-0.19031392014585435
-6.122103797734585,10.556956399151884,-0.18006187640395838,0.009779951100244499,4.781833203043789,,,,,,,,,,,,,
,,,,,78.78,9.156752390000001,26,407,10751,0.0498192235827446,136,,,,,,
-4.425991716216078,9.95152757225344,-0.11348696708246354,0.009578544061302681,5.218166892416775,,,,,,,,-15.981389507651329,768,2.080356804654002,0.9388550287112594,8.422180518627221e-05,-0.20895927655510604
-5.033051925947775,11.446242650009424,-0.11438754377154034,0.013888888888888888,6.795524798333645,,,,,,,,-16.812943264842033,832,2.3044800562784076,0.9338301736861467,8.413196288000001e-05,-0.22783476766198874
0.03547411711083903,13.466800172306884,0.0007547684491667879,0.019184652278177457,8.582420886028558,,,,,,,,,,,,,
-7.353594335357959,2.797542480151427,-0.0799303732104126,0.004464285714285714,3.3066287580877542,,,,,,,,-18.438804805278778,960,2.002427600324154,0.923772344365716,8.395242296047338e-05,-0.2639760042075068
,,,,,78.07,8.61703637,26,418,10969,0.04981760308146477,140,,,,,,
