custom/mean_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/total_reward,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_rew_mean,train/std,attention/throttle_share/lidar,attention/throttle_share/angle,attention/throttle_share/prev_action,attention/throttle/speed,attention/throttle/cam,attention/throttle_share/waypoints,attention/steer/speed,attention/steer_share/angle,attention/throttle/angle,attention/steer/sensors,attention/steer_share/lidar,attention/throttle/sensors,attention/steer/cam,attention/steer_share/prev_action,attention/steer_share/waypoints,attention/throttle_share/maneuver,attention/throttle/maneuver,attention/steer/maneuver,attention/steer_sensors_vs_route,attention/steer_share/cam,attention/steer/route,attention/steer_share/speed,attention/throttle/waypoints,attention/steer/waypoints,attention/steer_share/maneuver,attention/throttle/lidar,attention/steer/angle,attention/throttle_share/speed,attention/throttle/prev_action,attention/throttle/route,attention/steer/lidar,attention/steer/prev_action,attention/throttle_share/cam,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates
,,,,,71.86538461538461,3737,130,52,28,-5.95787476923077,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08759594654866243,12.361531756818295,0.006166495375128468,13.307018906628873,-5.956524365309045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.045605179654773724,13.801836662809364,0.005917159763313609,13.623227862268239,-3.3747832944532554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.02751406344264019,21.495601980946958,0.013181545835829839,16.653032675159785,-2.586321963608178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1602103571227075,7.092808183748275,0.003386550556361877,10.258873252478846,-8.170728213258084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.78571428571429,4020,140,56,28,-5.893492446428572,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0037788521078247587,28.060381375602446,0.014989293361884369,17.271529268126308,-0.4459045487233215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12291276421560134,8.936198283685371,0.004263382283278067,11.9423851358098,-6.760202031858073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12653136307647792,8.912640078924596,0.005087620124364048,10.73528363733528,-7.718413147665153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16486257323274175,6.5245396555401385,0.0035879036391594054,9.210222522798283,-8.572853808102572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.7,4302,149,60,28,-5.893937500000001,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.09169250943617133,12.55091201380128,0.007484168105929764,13.110056033172814,-6.418475660531993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13763858525760422,9.38900327985175,0.0056785917092561046,11.682768176147093,-8.120676530198649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05781961134504511,13.419561235699803,0.0056634304207119745,15.098699002944166,-3.758274737427932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05449970128297303,20.189387445221655,0.008340283569641367,15.800726129540623,-5.068472219316492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.640625,4585,158,64,28,-5.892810640625001,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.09577220732272719,12.391831567278132,0.005334427574887156,12.74037619707616,-6.79982671991363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12796222069907157,8.497226909385063,0.005431502715751358,10.887795476709742,-7.293846579847079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.00949269641099703,25.616211663000286,0.012726382770435633,17.5675455010722,-1.0062258195656852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.16806602561868386,6.990153796970844,0.0032817627754336614,9.90797498944035,-8.739433332171561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71.57352941176471,4867,169,68,28,-5.898778588235295,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03042278763402641,23.628813299001195,0.015249266862170088,16.518279990810598,3.1639699139387467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.002087962012715953,29.138955299044028,0.012663755458515284,18.077418214488137,-0.2442915554877665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12081493147676389,9.798093940131366,0.006523157208088715,12.185731895604594,-7.12808095712907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12836822497862443,10.608657422591932,0.004468275245755138,12.543586793157099,-7.958829948674715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.29166666666667,5205,179,72,29,-5.741970958333334,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06719135824689272,27.28873036452569,0.014842300556586271,19.264654228105574,-6.92070989942995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.08620753069674174,11.78635624499293,0.006256517205422315,12.315463521715149,-6.034527148771922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.07816608783880849,15.150458000833169,0.009708737864077669,15.583846017365643,-5.549792236555403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06551130466875248,17.713223254540935,0.007662835249042145,14.64297855686508,-5.764994810850218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.80263157894737,5533,190,76,29,-5.760463578947369,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.1632862647893531,7.055540661327541,0.0029498525073746312,10.42381878897392,-8.164313239467655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10992628972097959,11.044247427489609,0.006207674943566591,12.830929560572693,-6.9253562524217145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.09292357954309971,10.853817935392726,0.0049172999552972736,11.68275284127552,-6.31880340893078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.022463438796841165,26.343077095982153,0.014278159703860392,17.742253516618035,-2.426051390058846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.725,5818,200,80,29,-5.772093587500001,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.035175584134815314,20.098186031216756,0.008924144769459593,16.633991013754738,-3.0954514038637475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.05331313315478424,13.006285415496677,0.00718562874251497,13.199281445644527,-3.8385455871444654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.09983843490562787,13.623877188016195,0.00739476678043231,13.435565843222602,-7.388044183016462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.07849366006547182,12.657959772157483,0.006166495375128468,12.513277712137606,-5.808530844844914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.88095238095238,6122,211,84,28,-5.738521285714286,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0784548639055148,14.069278858951293,0.006787330316742082,13.534610984227694,-5.962569656819125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12113672612401614,11.354226498748176,0.005284015852047556,12.237955055365399,-8.237297376433098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10386026083921428,9.687574220704846,0.005621486570893191,11.091337427608734,-6.647056693709714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.18035824138108328,5.8269276501378044,0.003804692454026633,8.75279568407262,-8.83755382767308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.44318181818181,6375,219,88,28,-5.816176863636364,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.17373779509756956,5.89299424435012,0.002745995423340961,8.559039808382744,-8.860627549976048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.14832291344764612,7.592057954752818,0.004203888596952181,10.353463989786949,-8.00943732617289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.040809325108580985,21.648128660861403,0.01027027027027027,16.219439523382636,-3.958504535532356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.09913920354460025,12.340773186879233,0.006253256904637832,13.873386037351276,-6.444048230399016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,72.15217391304348,6638,229,92,28,-5.861238173913044,0.22313019633293152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.13803788944504783,7.793419341091067,0.0037422037422037424,9.923011214009918,-8.006197587812775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.12776691174242696,9.117562798870495,0.004796163069544364,10.290578466919603,-8.304849263257752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.10405591310413738,11.155747456476092,0.0055055055055055055,12.195284211700647,-6.971746177977204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.15576706931572568,7.098600341472775,0.004394224733207784,9.344872821232574,-8.722955881680639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
